Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.53,"492,723",36,932,"860,906",Sat Jun 15 2019 02:26:11 GMT-0400 (Eastern Daylight Time)
8.53,"492,918",36,932,"861,300",Sun Jun 16 2019 06:01:38 GMT-0400 (Eastern Daylight Time)
8.53,"493,018",36,932,"861,559",Sun Jun 16 2019 21:47:49 GMT-0400 (Eastern Daylight Time)
8.53,"493,141",36,932,"861,776",Mon Jun 17 2019 13:24:32 GMT-0400 (Eastern Daylight Time)
8.53,"493,828",36,942,"863,216",Fri Jun 21 2019 05:03:14 GMT-0400 (Eastern Daylight Time)
8.53,"494,008",36,942,"863,528",Fri Jun 21 2019 23:59:41 GMT-0400 (Eastern Daylight Time)
8.53,"494,084",36,942,"863,768",Sat Jun 22 2019 16:36:54 GMT-0400 (Eastern Daylight Time)
8.53,"494,136",36,942,"863,824",Sat Jun 22 2019 19:34:13 GMT-0400 (Eastern Daylight Time)
8.53,"494,187",36,942,"863,905",Sat Jun 22 2019 23:32:12 GMT-0400 (Eastern Daylight Time)
8.53,"494,187",36,942,"863,905",Sat Jun 22 2019 23:32:58 GMT-0400 (Eastern Daylight Time)
8.53,"494,222",36,942,"863,962",Sun Jun 23 2019 03:29:54 GMT-0400 (Eastern Daylight Time)
8.53,"494,422",36,942,"864,299",Sun Jun 23 2019 22:43:23 GMT-0400 (Eastern Daylight Time)
8.53,"494,439",36,942,"864,359",Mon Jun 24 2019 01:15:24 GMT-0400 (Eastern Daylight Time)
8.53,"494,646",35,942,"864,711",Mon Jun 24 2019 23:48:09 GMT-0400 (Eastern Daylight Time)
8.53,"494,924",36,932,"865,237",Wed Jun 26 2019 04:28:58 GMT-0400 (Eastern Daylight Time)
8.53,"495,125",36,932,"865,654",Thu Jun 27 2019 06:10:03 GMT-0400 (Eastern Daylight Time)
8.53,"495,307",36,932,"866,014",Fri Jun 28 2019 05:48:03 GMT-0400 (Eastern Daylight Time)
8.53,"495,536",36,932,"866,544",Sat Jun 29 2019 17:31:08 GMT-0400 (Eastern Daylight Time)
8.53,"495,536",36,932,"866,544",Sat Jun 29 2019 17:48:02 GMT-0400 (Eastern Daylight Time)
8.53,"495,833",35,932,"867,074",Sun Jun 30 2019 23:31:55 GMT-0400 (Eastern Daylight Time)
8.53,"495,864",35,932,"867,098",Mon Jul 01 2019 00:23:13 GMT-0400 (Eastern Daylight Time)
8.53,"496,662",36,932,"868,659",Thu Jul 04 2019 13:33:37 GMT-0400 (Eastern Daylight Time)
8.53,"497,008",35,932,"869,315",Sat Jul 06 2019 02:39:46 GMT-0400 (Eastern Daylight Time)
8.53,"497,008",35,932,"869,331",Sat Jul 06 2019 03:16:26 GMT-0400 (Eastern Daylight Time)
8.53,"497,234",35,932,"869,739",Sun Jul 07 2019 03:46:58 GMT-0400 (Eastern Daylight Time)
8.53,"497,431",36,932,"870,154",Mon Jul 08 2019 00:24:01 GMT-0400 (Eastern Daylight Time)
8.53,"497,431",36,932,"870,154",Mon Jul 08 2019 00:25:38 GMT-0400 (Eastern Daylight Time)
8.53,"497,431",36,932,"870,174",Mon Jul 08 2019 01:16:59 GMT-0400 (Eastern Daylight Time)
8.53,"497,511",36,942,"870,526",Mon Jul 08 2019 20:22:28 GMT-0400 (Eastern Daylight Time)
8.53,"497,511",36,942,"870,604",Mon Jul 08 2019 23:58:44 GMT-0400 (Eastern Daylight Time)
8.53,"497,792",36,942,"870,913",Tue Jul 09 2019 17:25:24 GMT-0400 (Eastern Daylight Time)
8.53,"498,003",36,942,"871,271",Wed Jul 10 2019 12:25:36 GMT-0400 (Eastern Daylight Time)
8.53,"498,236",36,942,"871,799",Thu Jul 11 2019 14:59:04 GMT-0400 (Eastern Daylight Time)
8.53,"498,236",36,942,"871,799",Thu Jul 11 2019 14:59:10 GMT-0400 (Eastern Daylight Time)
